1342064615945949184,metofficeSEEng,2020-12-24 00:00:00+00:00,Yellow Warning of Rain affecting England (London &amp; South East England) https://t.co/1f7RgoxyK3 https://t.co/IVhOictz9q,Yellow,4,2
1342061345584246784,metofficeSEEng,2020-12-24 00:00:00+00:00,Amber Warning of Wind affecting England (London &amp; South East England) https://t.co/6fQpgbHYuT https://t.co/N72tWfg3Dk,Amber,12,6
1341688509959077889,metofficeSEEng,2020-12-23 00:00:00+00:00,Yellow Warning of Wind affecting England (London &amp; South East England) https://t.co/igTw68LMUq https://t.co/GQc8PrxmIN,Yellow,11,5
1340967633978421253,metofficeSEEng,2020-12-21 00:00:00+00:00,Yellow Warning of Rain affecting England (London &amp; South East England) https://t.co/A3IIxFWQUI https://t.co/kJllPFdvGU,Yellow,11,8
1336259109159460866,metofficeSEEng,2020-12-08 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/DjTsvqRjfB https://t.co/tFNS3iqUhl,Yellow,5,3
1335923398975782913,metofficeSEEng,2020-12-07 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/EUpRZK6Uoh https://t.co/ibb30n8itk,Yellow,7,4
1335616878161498113,metofficeSEEng,2020-12-06 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/Esf0s70xB4 https://t.co/7OjOP9j7Dq,Yellow,8,4
1335095441449385984,metofficeSEEng,2020-12-05 00:00:00+00:00,Yellow Warning of Rain affecting England (London &amp; South East England) https://t.co/7k4iVHBRuw https://t.co/2HFyfRXiSC,Yellow,4,4
1334823777088126976,metofficeSEEng,2020-12-04 00:00:00+00:00,Yellow Warning of Ice affecting England (London &amp; South East England) https://t.co/kIMQVmDQ82 https://t.co/UdXCd3ykeA,Yellow,9,2
1334722608781090816,metofficeSEEng,2020-12-04 00:00:00+00:00,Yellow Warning of Rain And Snow affecting England (London &amp; South East England) https://t.co/Na0B7Dmv7N https://t.co/QWZWZLHenh,Yellow,8,5
1333024799283572738,metofficeSEEng,2020-11-29 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/KlV9CshIzR https://t.co/RdGyWwEsMm,Yellow,4,3
1331954751777370112,metofficeSEEng,2020-11-26 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/CEtHKpCJJw https://t.co/gLPjMSkt7X,Yellow,6,0
1327924062232870912,metofficeSEEng,2020-11-15 00:00:00+00:00,Yellow Warning of Wind affecting England (London &amp; South East England) https://t.co/DV8bmceSVT https://t.co/3Z1uoP9voj,Yellow,6,6
1327577277995970560,metofficeSEEng,2020-11-14 00:00:00+00:00,Yellow Warning of Rain affecting England (London &amp; South East England) https://t.co/ZiFjbJqCm0 https://t.co/AEjRMPua0p,Yellow,9,5
1324569959318523905,metofficeSEEng,2020-11-06 00:00:00+00:00,Yellow Warning of Fog affecting England (London &amp; South East England) https://t.co/Vo5JxhxTji https://t.co/s6FQRk5IBR,Yellow,6,2
1320074213126926336,metofficeSEEng,2020-10-24 00:00:00+00:00,Yellow Warning of Rain And Wind affecting England (London &amp; South East England) https://t.co/HyvLCNNXNt https://t.co/TbdB5UlA1V,Yellow,11,12
1318651840980951040,metofficeSEEng,2020-10-20 00:00:00+00:00,Yellow Warning of Wind affecting England (London &amp; South East England) https://t.co/oS1yJluWWo https://t.co/zRZpTWbhdO,Yellow,5,6
